ID_Venta,Fecha_Venta,Modelo_Auto,Cantidad,Precio_Unitario,Tarjeta_De_Credito
1,31/12/2021,QX,61,35.81,5100177282581952
2,10/07/2022,SL-Class,13,91.68,5100171712130027
3,04/07/2022,Maxima,47,8.57,5100172767077972
4,11/10/2022,Tacoma,24,6.9,5100130602528989
5,20/09/2022,DeVille,87,82.57,5100176041919776
6,09/09/2022,Celica,37,22.42,5100172311357821
7,21/08/2022,Prius,42,66.65,5100144152864348
8,01/01/2022,5 Series,39,75.88,5100147372902640
9,20/06/2022,Pajero,91,25.16,5100136116696675
10,18/03/2022,X-90,78,17.21,5100135992846107
11,28/07/2022,H3,22,20.42,5100179661763235
12,02/08/2022,F250,38,67.92,5100172006147321
13,30/11/2021,riolet,14,69.84,5100178988510261
14,01/02/2022,B-Series Plus,81,68.09,5100134025386348
15,02/10/2022,62,75,61.54,5100130491175603
16,16/05/2022,Expedition,63,77.12,5100174742325872
17,19/04/2022,Sidekick,78,98.56,5100172472125751
18,18/08/2022,Mentor,3,43.88,5100175783029018
19,06/12/2021,Eurovan,12,31.16,5100143464324082
20,12/06/2022,Esperante,46,69.18,5100147034924602
21,23/12/2021,Escalade,4,6.7,5100143547891313
22,12/09/2022,Corsica,38,27.25,5100139455058366
23,25/04/2022,Town Car,25,33.83,5100173928913790
24,29/10/2022,Prius,95,30.55,5100131393479572
25,04/05/2022,Elan,56,76.03,5100177048358703
26,01/10/2022,Golf,62,47.23,5100179251441721
27,13/03/2022,HED-5,34,54.51,5100177819423371
28,18/07/2022,Phantom,97,40.58,5100131294844122
29,13/07/2022,Mini,28,44.5,5100178552717680
30,10/04/2022,Ram 2500,86,29.13,5100177598091829
31,10/01/2022,Ram Van 1500,17,76.98,5100145379480636
32,09/07/2022,Caravan,9,28.73,5100178897434348
33,11/09/2022,Titan,59,97.34,5100140475665222
34,30/10/2022,Suburban 1500,44,63.11,5100179933372690
35,01/01/2022,TT,39,24.27,5100147079679350
36,13/06/2022,900,12,24.44,5100174607673614
37,23/01/2022,Loyale,98,42.49,5100141028023869
38,21/07/2022,Talon,50,8.42,5100140067382491
39,25/07/2022,Maxima,75,79.53,5100179611757899
40,15/05/2022,Crown Victoria,45,83.29,5100173613957821
41,11/09/2022,H2 SUV,87,78.82,5100147664305080
42,02/05/2022,Sonoma Club Coupe,98,56.01,5100139704372584
43,23/01/2022,Ridgeline,96,17.24,5100144700095270
44,21/03/2022,XC90,88,9.89,5100179097637771
45,08/01/2022,Caliber,25,51.21,5100142005011950
46,03/10/2022,V8 Vantage,10,97.63,5100148579687380
47,16/03/2022,Sephia,89,16.34,5100174125280413
48,03/09/2022,Chariot,42,68.04,5100132225072320
49,16/08/2022,Grand Marquis,15,92.78,5100130369452217
50,23/10/2022,Chariot,49,51.6,5100173479618897
51,27/06/2022,Legend,31,96.32,5100139150007155
52,16/12/2021,Eurovan,88,39.66,5100175192438990
53,28/08/2022,323,22,22.79,5100133134281952
54,03/07/2022,Rondo,52,17.26,5100170807806814
55,14/02/2022,Savana 1500,67,25.56,5100174845447961
56,23/11/2021,F-Series,3,73.26,5100173068135063
57,18/04/2022,Mazda3,34,76.78,5100136446863920
58,21/11/2022,Maxima,72,72.36,5100145078201507
59,14/11/2022,Ram 3500,35,18.67,5100134735589256
60,27/03/2022,Cabriolet,35,79.41,5100149449820235
61,23/02/2022,Pacifica,88,71.27,5100173902507089
62,23/08/2022,F-Series,64,83.62,5100134202249996
63,08/08/2022,Ranger,67,38.63,5100133511309327
64,03/11/2022,Miata MX-5,33,75.82,5100172926119608
65,17/05/2022,L-Series,59,35.35,5100144575440510
66,10/12/2021,Highlander,99,76.07,5100177293790170
67,05/08/2022,Rondo,68,44.01,5100142817789199
68,07/12/2021,Prelude,93,47.11,5100170186795968
69,26/11/2021,ZDX,23,8.09,5100146941069238
70,25/12/2021,G,46,28.75,5100142790238487
71,11/03/2022,Sienna,2,68.55,5100177499627986
72,19/05/2022,Bronco,76,8.29,5100179703768697
73,15/11/2022,SX4,86,55.81,5100131707604907
74,03/09/2022,F250,84,93.55,5100174775395545
75,28/04/2022,S-Class,83,64.81,5100131304820542
76,17/01/2022,VUE,28,73.05,5100132295880867
77,08/06/2022,XJ,72,6.08,5100134363415188
78,03/12/2021,Soul,86,35.04,5100137664664131
79,02/05/2022,Swift,16,94.72,5100133315538949
80,14/12/2021,Express 1500,69,52.51,5100145455152596
81,21/04/2022,Sierra 3500,39,84.88,5100133976975547
82,02/09/2022,Altima,97,16.11,5100174524931103
83,21/11/2022,Odyssey,4,21.22,5100174560390313
84,18/08/2022,90,5,99.04,5100137839845029
85,10/03/2022,7 Series,6,43.74,5100140285444776
86,23/08/2022,Minx Magnificent,18,8.59,5100179648407740
87,07/04/2022,Savana 3500,84,32.01,5100139221608726
88,02/02/2022,Prelude,29,85.57,5100172232814934
89,04/04/2022,XC70,3,75.49,5100141936524768
90,06/07/2022,Alcyone SVX,72,71.84,5100137409238142
91,17/03/2022,E-Series,81,11.88,5100145380734641
92,18/11/2022,Somerset,68,55.89,5100143340051867
93,12/01/2022,Express 3500,97,50.47,5100175702575075
94,02/07/2022,Mirage,54,84.87,5100170583235006
95,26/04/2022,S60,18,66.61,5100147742825455
96,23/01/2022,7 Series,31,66.91,5100173571651002
97,13/10/2022,GranTurismo,59,61.94,5100173545000294
98,01/09/2022,X6,19,12.24,5100178651709372
99,09/11/2022,Ram 2500,87,31.82,5100177687070999
100,16/01/2022,B-Series,85,2.71,5100139367988957
